epsilon,gamma,iters,optimal_path_length,valid_path
0.9448597670479277,0.07690148344657496,630,13,False
0.9448597670479277,0.07690148344657496,612,13,False
0.0968821899475333,0.11304886063548564,1961,29,True
0.0968821899475333,0.11304886063548564,1929,29,True
0.9448597670479277,0.07690148344657496,626,13,False
0.9448597670479277,0.07690148344657496,638,13,False
0.9448597670479277,0.07690148344657496,627,13,False
0.9448597670479277,0.07690148344657496,643,13,False
0.9448597670479277,0.07690148344657496,629,13,False
0.9448597670479277,0.07690148344657496,613,13,False
0.9448597670479277,0.07690148344657496,626,13,False
0.9448597670479277,0.07690148344657496,630,13,False
0.0968821899475333,0.11304886063548564,2031,29,True
0.0968821899475333,0.11304886063548564,1932,29,True
0.03350711829581384,0.4157341935732197,852,23,True
0.03350711829581384,0.4157341935732197,859,23,True
0.03350711829581384,0.4157341935732197,859,23,True
0.03350711829581384,0.4157341935732197,854,23,True
0.03350711829581384,0.4157341935732197,857,23,True
0.03350711829581384,0.4157341935732197,854,23,True
0.03350711829581384,0.4157341935732197,854,23,True
0.03350711829581384,0.4157341935732197,860,23,True
0.03350711829581384,0.4157341935732197,857,23,True
0.03350711829581384,0.4157341935732197,857,23,True
0.17649325163878474,0.46242858535621495,838,23,True
0.17649325163878474,0.46242858535621495,832,23,True
0.0968821899475333,0.11304886063548564,1905,29,True
0.17649325163878474,0.46242858535621495,827,23,True
0.0968821899475333,0.11304886063548564,1931,29,True
0.0968821899475333,0.11304886063548564,1980,29,True
0.17649325163878474,0.46242858535621495,840,23,True
0.0968821899475333,0.11304886063548564,1974,29,True
0.17649325163878474,0.46242858535621495,839,23,True
0.17649325163878474,0.46242858535621495,834,23,True
0.0968821899475333,0.11304886063548564,1909,29,True
0.0968821899475333,0.11304886063548564,1988,29,True
0.4549546174864753,0.4521778148346131,792,23,True
0.4549546174864753,0.4521778148346131,814,23,True
0.17649325163878474,0.46242858535621495,830,23,True
0.17649325163878474,0.46242858535621495,829,23,True
0.17649325163878474,0.46242858535621495,819,23,True
0.17649325163878474,0.46242858535621495,835,23,True
0.4549546174864753,0.4521778148346131,804,23,True
0.4549546174864753,0.4521778148346131,805,23,True
0.4549546174864753,0.4521778148346131,800,23,True
0.4549546174864753,0.4521778148346131,815,23,True
0.4549546174864753,0.4521778148346131,810,23,True
0.4549546174864753,0.4521778148346131,801,23,True
0.4549546174864753,0.4521778148346131,783,23,True
0.4549546174864753,0.4521778148346131,799,23,True
0.11570098016251422,0.05046964605815808,712,13,False
0.11570098016251422,0.05046964605815808,714,13,False
0.39183656133578154,0.5425365989352177,791,23,True
0.39183656133578154,0.5425365989352177,775,23,True
0.39183656133578154,0.5425365989352177,779,23,True
0.39183656133578154,0.5425365989352177,775,23,True
0.11570098016251422,0.05046964605815808,703,13,False
0.11570098016251422,0.05046964605815808,712,13,False
0.39183656133578154,0.5425365989352177,789,23,True
0.11570098016251422,0.05046964605815808,706,13,False
0.11570098016251422,0.05046964605815808,700,13,False
