epsilon,gamma,iters,optimal_path_length,valid_path,seed
0.09377397459033049,0.14403577212455348,1089,23,True,2
0.09377397459033049,0.14403577212455348,1100,23,True,3
0.09377397459033049,0.14403577212455348,1110,23,True,4
0.8818723347421167,0.8839991257772634,1410,23,True,2
0.8818723347421167,0.8839991257772634,1399,23,True,3
0.09377397459033049,0.14403577212455348,1082,23,True,6
0.09377397459033049,0.14403577212455348,1094,23,True,5
0.8818723347421167,0.8839991257772634,1475,23,True,6
0.09377397459033049,0.14403577212455348,1103,23,True,9
0.41240636938956016,0.1619961456756079,967,23,True,0
0.8818723347421167,0.8839991257772634,1743,23,True,4
0.09377397459033049,0.14403577212455348,1088,23,True,7
0.09377397459033049,0.14403577212455348,1106,23,True,8
0.8818723347421167,0.8839991257772634,1640,23,True,7
0.8818723347421167,0.8839991257772634,1773,23,True,5
